,,,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
62,Texas-El Paso,CUSA (West),4,8,.333,2,6,.250,26.3,34.9,-13.29,-7.21,,,,
63,Rice,CUSA (West),3,9,.250,2,6,.250,25.3,37.3,-13.63,-4.30,,,,
64,Massachusetts,Ind,2,10,.167,,,,23.3,35.5,-11.91,-1.41,,,,
65,Brigham Young,Ind,9,4,.692,,,,29.5,19.5,6.55,-1.15,,,,
66,Army,Ind,8,5,.615,,,,29.9,19.8,-2.40,-6.40,,,,
67,Notre Dame,Ind,4,8,.333,,,,30.9,27.8,4.25,3.92,,10,10,
68,Ohio,MAC (East),8,6,.571,6,2,.750,26.3,22.6,-1.95,-5.52,,,,
69,Miami (OH),MAC (East),6,7,.462,6,2,.750,22.8,23.8,-6.74,-5.82,,,,
70,Akron,MAC (East),5,7,.417,3,5,.375,27.4,33.6,-6.48,-3.89,,,,
71,Bowling Green State,MAC (East),4,8,.333,3,5,.375,24.8,38.3,-10.55,-4.05,,,,
72,Kent State,MAC (East),3,9,.250,2,6,.250,20.6,28.7,-9.00,-3.09,,,,
73,Buffalo,MAC (East),2,10,.167,1,7,.125,16.5,32.3,-18.21,-5.55,,,,
74,Western Michigan,MAC (West),13,1,.929,8,0,1.000,41.6,19.8,12.07,-4.58,12,,12,
75,Toledo,MAC (West),9,4,.692,6,2,.750,38.0,25.7,4.97,-3.72,,,,
76,Northern Illinois,MAC (West),5,7,.417,5,3,.625,30.5,30.3,-4.35,-3.60,,,,
77,Eastern Michigan,MAC (West),7,6,.538,4,4,.500,29.6,29.8,-4.26,-4.03,,,,
78,Central Michigan,MAC (West),6,7,.462,3,5,.375,26.3,30.3,-5.57,-2.87,,,,
79,Ball State,MAC (West),4,8,.333,1,7,.125,27.0,30.1,-9.08,-5.83,,,,
80,Boise State,MWC (Mountain),10,3,.769,6,2,.750,33.8,23.3,8.05,-0.87,,,13,
81,New Mexico,MWC (Mountain),9,4,.692,6,2,.750,36.7,31.5,-1.18,-5.41,,,,
82,Wyoming,MWC (Mountain),8,6,.571,6,2,.750,35.9,34.1,1.40,-0.96,,,,
83,Air Force,MWC (Mountain),10,3,.769,5,3,.625,35.2,26.2,4.12,-4.50,,,,
84,Colorado State,MWC (Mountain),7,6,.538,5,3,.625,35.3,30.4,2.56,-1.13,,,,
85,Utah State,MWC (Mountain),3,9,.250,1,7,.125,23.9,29.3,-5.95,0.14,,,,
86,San Diego State,MWC (West),11,3,.786,6,2,.750,35.2,20.2,6.01,-5.14,,,19,
87,Hawaii,MWC (West),7,7,.500,4,4,.500,28.3,37.3,-6.40,-3.40,,,,
88,Nevada,MWC (West),5,7,.417,3,5,.375,25.4,29.0,-9.67,-6.84,,,,
89,Nevada-Las Vegas,MWC (West),4,8,.333,3,5,.375,31.6,36.8,-10.01,-3.76,,,,
90,San Jose State,MWC (West),4,8,.333,3,5,.375,24.4,34.7,-9.99,-2.58,,,,
91,Fresno State,MWC (West),1,11,.083,0,8,.000,17.7,30.9,-14.23,-2.39,,,,
92,Washington,Pac-12 (North),12,2,.857,8,1,.889,41.8,17.7,20.11,4.11,4,14,4,
93,Washington State,Pac-12 (North),8,5,.615,7,2,.778,38.2,26.4,9.09,3.24,,,20,
94,Stanford,Pac-12 (North),10,3,.769,6,3,.667,26.3,20.4,12.60,5.29,16,8,7,
95,California,Pac-12 (North),5,7,.417,3,6,.333,37.1,42.6,2.49,5.99,,,,
96,Oregon State,Pac-12 (North),4,8,.333,3,6,.333,26.2,30.5,1.59,5.17,,,,
97,Oregon,Pac-12 (North),4,8,.333,2,7,.222,35.4,41.4,0.76,5.18,,24,22,
98,Colorado,Pac-12 (South),10,4,.714,8,1,.889,31.1,21.7,12.24,5.60,11,,9,
99,Southern California,Pac-12 (South),10,3,.769,7,2,.778,34.4,24.2,17.40,7.17,9,20,9,
100,Utah,Pac-12 (South),9,4,.692,5,4,.556,29.8,23.9,8.72,2.25,,,11,
101,Arizona State,Pac-12 (South),5,7,.417,2,7,.222,33.3,39.8,-2.53,3.97,,,,
102,UCLA,Pac-12 (South),4,8,.333,2,7,.222,24.9,27.5,2.71,5.21,,16,16,
