,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
46,Northwestern,Big Ten (West),6,2,.750,2,2,.500,20.9,17.6,9.53,5.41,,13,,
47,Illinois,Big Ten (West),4,3,.571,1,2,.333,26.3,20.3,4.23,1.65,,,,
48,Minnesota,Big Ten (West),4,3,.571,1,2,.333,20.4,23.1,0.23,1.52,,,,
49,Nebraska,Big Ten (West),3,5,.375,1,3,.250,31.9,24.8,6.23,3.73,,,,
50,Purdue,Big Ten (West),1,6,.143,0,3,.000,23.1,32.9,-5.48,3.81,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
51,Marshall,CUSA (East),7,1,.875,4,0,1.000,31.6,16.9,2.28,-10.72,,,,
52,Western Kentucky,CUSA (East),6,2,.750,4,0,1.000,41.0,27.0,6.94,-2.94,,,,
53,Florida International,CUSA (East),4,4,.500,2,2,.500,29.3,22.6,-4.70,-9.32,,,,
54,Middle Tennessee State,CUSA (East),3,5,.375,2,2,.500,34.6,30.8,-4.16,-0.41,,,,
55,Old Dominion,CUSA (East),3,4,.429,1,2,.333,18.9,33.3,-14.70,-5.56,,,,
56,Florida Atlantic,CUSA (East),1,6,.143,1,3,.250,22.3,31.1,-15.35,-5.07,,,,
57,Charlotte,CUSA (East),2,5,.286,,,,17.9,34.0,-16.55,-8.27,,,,
,,,,,,,,,,,,,,,,
58,Louisiana Tech,CUSA (West),5,3,.625,3,1,.750,37.8,27.3,4.00,-2.38,,,,
59,Southern Mississippi,CUSA (West),5,3,.625,3,1,.750,35.9,23.9,0.06,-6.69,,,,
60,Rice,CUSA (West),4,3,.571,2,1,.667,30.6,36.9,-6.46,-5.04,,,,
61,Texas-El Paso,CUSA (West),3,4,.429,1,2,.333,22.1,39.3,-17.43,-8.29,,,,
62,Texas-San Antonio,CUSA (West),1,6,.143,1,2,.333,20.9,35.1,-10.42,0.30,,,,
63,North Texas,CUSA (West),0,7,.000,0,4,.000,16.4,47.3,-22.99,-2.28,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
64,Notre Dame,Ind,6,1,.857,,,,38.3,22.6,19.75,7.89,11,6,,
65,Brigham Young,Ind,6,2,.750,,,,34.3,23.5,10.22,4.10,,19,,
66,Army,Ind,2,6,.250,,,,24.1,28.5,-9.66,-5.91,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
67,Bowling Green State,MAC (East),6,2,.750,4,0,1.000,43.9,28.5,10.09,0.59,,,,
68,Ohio,MAC (East),5,3,.625,2,2,.500,25.5,23.0,-1.54,-4.67,,,,
69,Kent State,MAC (East),3,5,.375,2,2,.500,15.8,27.6,-7.44,-1.44,,,,
70,Akron,MAC (East),3,4,.429,1,2,.333,23.7,26.0,-1.20,-0.77,,,,
71,Buffalo,MAC (East),3,4,.429,1,2,.333,28.0,25.1,-0.69,-2.83,,,,
72,Massachusetts,MAC (East),1,6,.143,0,3,.000,24.4,39.6,-7.96,5.18,,,,
73,Miami (OH),MAC (East),1,7,.125,0,4,.000,14.4,36.5,-13.48,0.64,,,,
,,,,,,,,,,,,,,,,
74,Toledo,MAC (West),7,0,1.000,4,0,1.000,37.0,16.3,11.46,-5.11,,19,,
75,Western Michigan,MAC (West),4,3,.571,3,0,1.000,32.9,29.1,3.87,1.58,,,,
76,Northern Illinois,MAC (West),5,3,.625,3,1,.750,36.8,24.5,4.64,-4.62,,,,
77,Central Michigan,MAC (West),4,4,.500,3,1,.750,27.9,23.6,3.41,1.29,,,,
78,Ball State,MAC (West),2,6,.250,1,3,.250,26.1,33.8,-8.49,-1.11,,,,
79,Eastern Michigan,MAC (West),1,7,.125,0,4,.000,27.4,44.5,-16.31,-1.93,,,,
